Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Whose Your Landlord,,Multifamily,https://angel.co/company/whoseyourlandlord,https://www.crunchbase.com/organization/whose-your-landlord,https://wyl.co/,,New York,NY,,,2015,,,#N/A,,,,,,,"$2,100,000 ",,,,,,,,,,1-Feb-22,"$2,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Modulize,,Industrial,https://angel.co/company/modulize-2,https://www.crunchbase.com/organization/modulize,https://www.modulize.io/,,Oslo,Norway,,3,2020,,,#N/A,,,,,,,"$2,010,000 ",,,,,,,,16-Nov-20,"$110,000 ",4-Apr-22,"$1,900,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Agorafy,,Multifamily,https://angel.co/company/agorafy-3,https://www.crunchbase.com/organization/agorafy,http://agorafy.com/,,NY,NY ,,,2010,15,1,#N/A,,,,,"$133,333 ",,"$2,000,000 ",,,0.00%,,,,,,,1-Nov-10,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Aptly,,All,https://angel.co/company/aptly-1,https://www.crunchbase.com/organization/aptly,https://www.getaptly.com,,San Francisco,CA,,,2016,9,1,#N/A,,,,,"$222,222 ",,"$2,000,000 ",,,0.00%,,,,,,,28-Nov-17,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Architrave,,All,https://angel.co/company/architrave,https://www.crunchbase.com/organization/architrave,http://www.archilogic.com,,Berlin,Germany,,,2012,13,1,#N/A,,,,,"$153,846 ",,"$2,000,000 ",,,#DIV/0!,,,,,,,,,,,,,6-Feb-19,"$2,000,000.00 ",,,,,,,,,,,,,,,,,,,
"Compound Technologies, Inc.",,All,https://angel.co/getcompound,https://www.crunchbase.com/organization/stayawhile-inc,www.getcompound.com,510 5th Ave,New York,New York,,2,2016,9,1,#N/A,,,,,"$222,222 ",,"$2,000,000 ",,,0.00%,,,,,,," Jul 31, 2019","$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Envelope,,All,https://angel.co/company/envelope-3,https://www.crunchbase.com/organization/envelope-city-inc,https://envelope.city/,,NY,NY,,,2015,10,1,#N/A,,,,,"$200,000 ",,"$2,000,000 ",,,0.00%,,,,,,,31-Jan-18,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Goby,Energy Management,Other,https://angel.co/goby-co,https://www.crunchbase.com/organization/goby-2,www.goby.co,35 East Broadway,New York,New York ,10002,2,2015,10,1,#N/A,,,,,"$200,000 ",,"$2,000,000 ",,,0.00%,,,,,,," Oct 5, 2016","$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Shaker,,ALL,,,https://www.shaker.io/,,Indianapolis,IN,,,2020,5,1,#N/A,,,,,"$400,000 ",,"$2,000,000 ",,,0.00%,,,,,,,10-Nov-21,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
"TowerIQ, Inc.",,Multifamily,https://angel.co/company/toweriq-1,https://www.crunchbase.com/organization/toweriq,http://www.mytoweriq.com/,2 Avenue de Lafayette,Boston,MA,2111,3,2017,8,1,#N/A,,,,,"$250,000 ",,"$2,000,000 ",,,0.00%,,,,,,," Jul 16, 2018","$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Zego,Smart Apts,Multifamily,https://angel.co/livezego,https://www.crunchbase.com/organization/casaiq,zego.io/,1828 Walnut Street,Kansas City,MO,64108,1,2017,8,1,#N/A,,,,,"$250,000 ",,"$2,000,000 ",,,0.00%,,,,,,," Jul 17, 2017        
","$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
TransitScreen,Amenities,Residential,https://angel.co/transitscreen,https://www.crunchbase.com/organization/transit-screen#section-overview,https://transitscreen.com/,750 17th St NW,Washington,DC,20006,2,2014,11,2,#N/A,,,,,"$181,818 ",,"$2,000,000 ",,,8.01%,,,,,12-Mar-15,"$600,000 ",1-Mar-16,"$1,400,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
"BLDUP, Inc",,All,https://angel.co/company/bldup-2,https://www.crunchbase.com/organization/bldup,https://www.bldup.com/,,Boston,Massachusetts,,1,,2025,1,#N/A,,,,,$988 ,,"$2,000,000 ",,,0.00%,,,,,10-Aug-21,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Showplace,,STR,,https://www.crunchbase.com/organization/showplace,https://showplacehq.com/,,San Mateo,CA,,1,2020,,,#N/A,,,,,,,"$2,000,000 ",,,,,,,,,,7-Jun-22,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
inCitu,,Commercial,,https://www.crunchbase.com/organization/incitu,https://www.incitu.us/,,New York,NY,,,2019,,,#N/A,,,,,,,"$2,000,000 ","$500,000 ",,,,,,,23-Nov-22,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepblocks,,Commercial,https://wellfound.com/company/deepblocks,https://www.crunchbase.com/organization/deep-blocks,http://deepblocks.com/,,Miami,FL,,1,2016,,,#N/A,,,,,,,"$2,000,000 ",,,,,,,,,,30-Jan-23,"$2,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Carbonaide,,Construction,,https://www.crunchbase.com/organization/carbonaide,https://carbonaide.com/,,Joensuu,Finland,,,,,,#N/A,,,,,,,"$1,944,000 ",,,,,,,,,,28-Mar-23,"$1,944,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Realla,Marketing,ALL,https://angel.co/realla,https://www.crunchbase.com/organization/realla#section-overview,https://realla.co/,,London,,,2,2015,10,1,#N/A,,,,,"$190,012 ",,"$1,900,116 ",,,0.00%,,,,,,," Jun 6, 2016","$1,900,116 ",,,,,,,,,,,,,,,,,,,,,,,12-Oct-18,,CoStar
Monograph,,All,https://angel.co/company/monograph,https://www.crunchbase.com/organization/monograph#section-overview,monograph.io,,,,,1,2016,9,1,#N/A,,,,,"$211,111 ",,"$1,900,000 ",,,0.00%,,,,,,, 3/10/2020,"$1,900,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Redist,,Multifamily,,https://www.crunchbase.com/organization/redist,https://www.redist.us/,,New York,NY,,2,2020,5,1,#N/A,,,,,"$380,000 ",,"$1,900,000 ",,,0.00%,,,,,,,"Sep 29th, 2021","$1,900,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Rayon,,All,https://angel.co/company/rayon,https://www.crunchbase.com/organization/rayon,https://www.rayon.design/,,Paris,France,,2,2021,,,#N/A,,,,,,,"$1,900,000 ",,,,,,,,15-Jun-22,"€1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
YapiRadar,,Construction,,https://www.crunchbase.com/organization/yap%C4%B1radar-com,https://www.yapiradar.com/,,Istanbul,Turkey,,3,2018,,,#N/A,,,,,,,"$1,900,000 ",,,,,,,,,,21-Dec-22,"$1,900,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
GeoCV,AR VR,Multifamily,https://angel.co/geocv-1,https://www.crunchbase.com/organization/geocv#section-overview,geocv.com,220 E 23rd St,New York,NY ,10010,2,2014,11,1,#N/A,,,,,"$163,636 ",,"$1,800,000 ",,,0.00%,,,,,,," Apr 11, 2017        
2)","$1,800,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Arbonics,,Other,,https://www.crunchbase.com/organization/arbonics,https://www.arbonics.com/,,Tallinn,Estonia,,2,2022,,,#N/A,,,,,,,"$1,800,000 ",,,,,,,,15-Sep-22,"$1,800,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Freesi,,All,,https://www.crunchbase.com/organization/freesi,https://freesi.io/en/,,Espoo,Finland,,2,2017,,,#N/A,,,,,,,"$1,700,000 ",,,,,,,,,,22-Jun-22,"$1,700,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Just Move In,,Residential,,https://www.crunchbase.com/organization/just-move-in,https://justmovein.com/,,Bournemouth,UK,,2,2015,,,#N/A,,,,,,,"$1,700,000 ",,,,,,,,,,14-Jan-19,"€1,700,000",,,,,,,,,,,,,,,,,,,,,,,,,
S.I. Container,,Residential,,https://www.crunchbase.com/organization/s-i-container-build,https://www.sicontainerbuilds.com/,,Highland Park,IL,,3,2019,,,#N/A,,,,,,,"$1,700,000 ",,,,,,,,,,3-May-22,"$1,700,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
SymTerra,,Construction,,https://www.crunchbase.com/organization/symterra,,"Bureau Design District, 13 Soames Walk",London,UK,SE10 0AX,,,,,#N/A,,,,,,,"$1,700,000 ",,,,,,,,,,5-Jul-22,"$1,700,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
TermScout,,"Office, Retail, Industrial, Other",https://angel.co/company/termscout-1,https://www.crunchbase.com/organization/termscout-95d7,https://termscout.com/,,Denver,Colorado,,,2018,7,2,#N/A,,,,,"$238,571 ",,"$1,670,000 ",,,19.66%,,,,,1-Feb-20,"$370,000 ",29-Jul-20,"$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Spotlar,,Residential,,https://www.crunchbase.com/organization/spotlar,https://www.spotlar.com.br/,,Florianopolis,Brazil,,2,2021,,,#N/A,,,,,,,"$1,651,000 ",,,,,,,,25-Apr-22,"$451,000 ",20-Dec-22,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
AskPorter,AI driven property platform,Rentals,https://angel.co/company/askporter,https://www.crunchbase.com/organization/askporter#section-overview,https://www.askporter.com/,51 Eastcheap,London,UK,EC3M 1JP,2,2017,8,1,#N/A,,,,,"$204,375 ",,"$1,635,002 ",,,0.00%,,,,,,," Aug 1, 2019","$1,635,002 ",,,,,,,,,,,,,,,,,,,,,,,,,
Bractlet,,All,https://angel.co/company/bractlet,https://www.crunchbase.com/organization/bractlet,https://bractlet.com/,,Austin,TX,,,2011,14,2,#N/A,,,,,"$116,786 ",,"$1,635,000 ",,,1.19%,,,,,,,30-Apr-15,"$750,000 ",,,1-Mar-16,"$885,000 ",,,,,,,,,,,,,,,,,,,,,
Gridics,Zoning,ALL,https://angel.co/company/gridics,https://www.crunchbase.com/organization/gridics,https://www.gridics.com/,,Miami,Florida,USA,3,2015,10,1,#N/A,,,,,"$160,000 ",,"$1,600,000 ",,,0.00%,,,,,,, 11/7/2017,"$1,600,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Rabbu,,"Multifamily, Residential",https://angel.co/company/rabbu,https://www.crunchbase.com/organization/rabbu,https://www.rabbu.com,,Charlotte,North California,,,2017,8,1,#N/A,,,,,"$200,000 ",,"$1,600,000 ",,,0.00%,,,,,,,22-Jan-19,"$1,600,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
RealCrowd,,"Multifamily, Retail, Hospitality, Other",https://angel.co/company/realcrowd,https://www.crunchbase.com/organization/realcrowd,https://www.realcrowd.com/,,Palo Alto,CA,,,2013,12,1,#N/A,,,,,"$133,333 ",,"$1,600,000 ",,,0.00%,,,,,,,26-Mar-14,"$1,600,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Guiker,,Multifamily,,https://www.crunchbase.com/organization/guiker-%E5%BD%92%E5%A3%B3,https://guiker.com/,,Montreal,Canada,,1,2016,,,#N/A,,,,,,,"$1,600,000 ",,,,,,,,28-Oct-19,"$1,600,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
ValueBase,,Commercial,,https://www.crunchbase.com/organization/valuebase,https://www.valuebase.co/,,Durham,NC,,1,2022,,,#N/A,,,,,,,"$1,600,000 ",,,,,,,,1-Feb-23,"$1,600,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Avesdo,,Residential,https://angel.co/company/avesdo,https://www.crunchbase.com/organization/avesdo,https://avesdo.com/,,Toronto,Canada,,,2014,11,1,#N/A,,,,,"$136,364 ",,"$1,500,000 ",,,0.00%,,,,,,,7-Nov-17,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
eBrevia,,"Multifamily, Office, Retail, Hospitality, Industrial",https://angel.co/company/ebrevia-3,https://www.crunchbase.com/organization/ebrevia,https://ebrevia.com/,55 Water Street,New York,NY,10041,2,2012,13,1,#N/A,,,,,"$115,385 ",,"$1,500,000 ",,,0.00%,,,,,,," Nov 25, 2014","$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Gryps,,ALL,https://angel.co/company/gryps_io,https://www.crunchbase.com/organization/gryps,https://www.gryps.io/,3585 GREYSTONE AVE,New York,NY,10463,2,2020,5,1,#N/A,,,,,"$300,000 ",,"$1,500,000 ",,,0.00%,,,,,,,30-Mar-21,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
InteliGlas Corp,,Other,,https://www.crunchbase.com/organization/inteliglas-corporation-b000,https://www.inteliglas.com/,,Pasadena,CA,,3,2018,7,1,#N/A,,,,,"$214,286 ",,"$1,500,000 ",,,0.00%,,,,,,,15-Jun-18,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Jointer,Deal Flow,All,https://angel.co/jointer,https://www.crunchbase.com/organization/jointer-2,www.jointer.co,899 Sherwood Ave,Los Altos,California,94022,1,2016,9,1,#N/A,,,,,"$166,667 ",,"$1,500,000 ",,,0.00%,,,,,,, 2/12/2019,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
LeasePilot,Leasing,"Office, Retail",https://angel.co/gadfly-legal-technologies,https://www.crunchbase.com/organization/leasepilot,www.leasepilot.co/,800 Boylston St,Boston,Massachusetts,2199,3,2015,10,1,#N/A,,,,,"$150,000 ",,"$1,500,000 ",,,0.00%,,,,,,," Mar 30, 2017","$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
NestEgg,,Residential,https://angel.co/company/nestegg-for-rental-properties,https://www.crunchbase.com/organization/nestegg-01c3,https://www.nestegg.rent,,Chicago,IL,,,2017,8,1,#N/A,,,,,"$187,500 ",,"$1,500,000 ",,,0.00%,,,,,,,1-Mar-20,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Released,Property Management,ALL,,https://www.crunchbase.com/organization/re-leased-property-software#section-overview,https://re-leased.com/,,London,UK,,1,2012,13,1,#N/A,,,,,"$115,385 ",,"$1,500,000 ",,,0.00%,,,,,,," July 18, 2018","$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Remoov,,Other,https://angel.co/company/remoov,https://www.crunchbase.com/organization/remoov,https://remoovit.com/,,San Francisco,CA,,2,2014,11,1,#N/A,,,,,"$136,364 ",,"$1,500,000 ",,,0.00%,,,,,,,2-Oct-19,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
REscour,,"Multifamily, Office, Retail, Other",https://angel.co/company/rescour,https://www.crunchbase.com/organization/rescour,https://rescour.com/,,Atlanta,Georgia,,,2013,12,1,#N/A,,,,,"$125,000 ",,"$1,500,000 ",,,0.00%,,,,,,,3-Dec-15,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Stowga,,Industrial,https://angel.co/company/stowga,https://www.crunchbase.com/organization/stowga,https://www.stowga.com/,,London,UK,,,2016,9,1,#N/A,,,,,"$166,667 ",,"$1,500,000 ",,,0.00%,,,,,,,12-Dec-17,"£1,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
Rentgrata,Messaging Platform,Residential,https://angel.co/company/rentgrata,https://www.crunchbase.com/organization/rentgrata#section-overview,https://www.rentgrata.com/,"225 E Grand Ave, Suite 707",Chicago,IL ,60614,3,2012,13,2,#N/A,,,,,"$115,385 ",,"$1,500,000 ",,,5.48%,,,,,1-Jun-18,"$500,000.00 ",1-Oct-19,"$1,000,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,
Placense,,All,https://angel.co/company/placense,https://www.crunchbase.com/organization/placense,https://www.placense.com/,3 Aluf Kalman Magen,Tel Aviv,Israel,,3,2018,7,1,#N/A,,,,,"$214,286 ",,"$1,500,000 ",,,0.00%,,,,," Aug 1, 2018","$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrenda,,"Residential, Multifamily",https://angel.co/company/arrenda,https://www.crunchbase.com/organization/f%C3%A1cil-fc23,https://arrenda.mx/,"Av. Insurgentes Sur 601, Piso 11",Mexico City,Mexico,3810,1,2022,,,#N/A,,,,,,,"$1,500,000 ",,,,,,,,20-Jul-22,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Raccord,,Other,,https://www.crunchbase.com/organization/raccord,https://www.raccord.com/,,New York,NY,,1,2021,,,#N/A,,,,,,,"$1,500,000 ",,,,,,,,,,9-Nov-21,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Purlin,,Residential,https://angel.co/company/purlin-co-5,https://www.crunchbase.com/organization/purlin-co,https://www.purlin.com/,,Torrance,CA,,3,2018,,,#N/A,,,,,,,"$1,500,000 ",,,,,,,,,,11-Nov-22,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Speiz,,Industrial,https://wellfound.com/company/speiz,https://www.crunchbase.com/organization/speiz,https://www.speiz.com/,,Oslo,Norway,,3,2020,,,#N/A,,,,,,,"$1,500,000 ",,,,,,,,,,6-Dec-22,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Adaptis,,Commercial,https://wellfound.com/company/adaptistech,https://www.crunchbase.com/organization/adaptis-technologies,https://adaptis.ca/,,Toronto,Canada,,1,2018,,,#N/A,,,,,,,"$1,500,000 ",,,,,,,,7-Mar-23,"$1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Prokore,Data Management,"Industrial, Office, Multifamily, Retail",https://angel.co/company/prokore-1,https://www.crunchbase.com/organization/prokore,www.prokore.com/,Greater New York Area,New York,NY ,,N/A,2012,13,2,#N/A,,,,,"$110,000 ",,"$1,430,000 ",,,0.00%,,,,,1-May-18,"$715,000 "," May 29, 2019","$715,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Digital Map Products,,All,https://angel.co/company/digital-map-products,https://www.crunchbase.com/organization/digital-map-products,https://www.digmap.com/,,Irvine,CA,,1,2000,25,1,#N/A,,,,,"$56,000 ",,"$1,400,000 ",,,#DIV/0!,,,,,,,,,,,,,,," Mar 9, 2005","$1,400,000 ",,,,,,,,,,,,,,,,,
Piinpoint,,Retail,https://angel.co/company/piinpoint,https://www.crunchbase.com/organization/piinpoint,https://www.piinpoint.com/,,Kitchener,Canada,,,2013,12,1,#N/A,,,,,"$116,667 ",,"$1,400,000 ",,,0.00%,,,,,,,25-Sep-14,"$1,400,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Atease,,Hospitality,https://angel.co/company/at-ease-rentals,https://www.crunchbase.com/organization/at-ease-rentals,http://www.pcsatease.com/,"2250 Double Creek Drive 
Unit 7013",Round Rock,Texas,78664,1,2019,,,#N/A,,,,,,,"$1,353,900 ",,,,,,,,,,21-Dec-21,,,,,,,,,,,,,,,,,,,,6-Jan-22,"$1,353,900 ",,,,,
FlashParking,,All,https://angel.co/company/flash-valet,https://www.crunchbase.com/organization/flashparking,www.flashparking.com,"FlashParking 3801 South Capital of Texas Highway, Suite 250",Austin,TX,78704,1,2011,14,1,#N/A,,,,,"$92,857 ",,"$1,300,000 ",,,0.00%,,,,,,,,,,, 1/15/2020,"$1,300,000 ",,,,,,,,,,,,,,,,,,,,,
IdealSpot,,Retail,https://angel.co/company/idealspot,https://www.crunchbase.com/organization/idealspot,https://www.idealspot.com/,,Austin,TX,,,2014,11,1,#N/A,,,,,"$118,182 ",,"$1,300,000 ",,,0.00%,,,,,,,1-Sep-16,"$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
inBuilding Services Corporation,Site Selection,Retail,https://angel.co/idealspot,https://www.crunchbase.com/organization/idealspot,www.idealspot.com,902 East 5th Street,Austin,Texas,78702,4,2014,11,1,#N/A,,,,,"$118,182 ",,"$1,300,000 ",,,0.00%,,,,,,," Sep 1, 2016","$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Upsuite Corp,Coworking,Office,https://angel.co/upsuite,https://www.crunchbase.com/organization/upsuite,https://www.upsuite.com/about-us,2420 17th St,Denver,CO,80202,1,2017,8,1,#N/A,,,,,"$162,500 ",,"$1,300,000 ",,,0.00%,,,Colliers,,,," Apr 2, 2018","$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
NeoCarbon,,Industrial,https://angel.co/company/neocarbon,https://www.crunchbase.com/organization/neocarbon,https://www.neocarbon.tech/,,Berlin,Germany,,2,2021,,,#N/A,,,,,,,"$1,300,000 ",,,,,,,,14-Sep-22,"$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conix.ai,,Construction,,https://www.crunchbase.com/organization/conixai,https://conix.ai/,,Riyadh,Saudi Arabia,,2,2021,,,#N/A,,,,,,,"$1,300,000 ",,,,,,,,17-Nov-22,"$1,300,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Comstruct,,Construction,,https://www.crunchbase.com/organization/comstruct-381d,https://comstruct.com/,,Bammental,Germany,,,2022,,,#N/A,,,,,,,"$1,296,000 ",,,,,,,,23-Mar-23,"$1,296,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission Trac,Brokerage,ALL,https://angel.co/commissiontrac-1,https://www.crunchbase.com/organization/commissiontrac,www.commissiontrac.com,4470 Chamblee Dunwoody Road,Atlanta,GA,30338,1,2015,10,2,#N/A,,,,,"$122,000 ",,"$1,220,000 ",,,50.60%,,,Techstars,," Jul 11, 2018        
","$20,000 ","Feb 18, 2019        
","$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Innago,,All,https://angel.co/company/innago,https://www.crunchbase.com/organization/innago-property-management-software,http://innago.com/,,Hudson,Ohio,,,2017,8,1,#N/A,,,,,"$150,000 ",,"$1,200,000 ",,,0.00%,,,,,,,1-Jan-17,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Real,,"Multifamily, Residential",https://angel.co/company/real-ventures,https://www.crunchbase.com/organization/real-3,https://www.joinreal.com/about,,NY,NY ,,,2014,11,1,#N/A,,,,,"$109,091 ",,"$1,200,000 ",,,0.00%,,,,,,,19-Mar-15,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Restb.ai,,"Multifamily, Residential",https://angel.co/company/restb,https://www.crunchbase.com/organization/restb-ai,https://restb.ai/,,Barcelona,Spain,,,2015,10,1,#N/A,,,,,"$120,000 ",,"$1,200,000 ",,,0.00%,,,,,,,15-May-17,"€1,200,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
SiteKick,,ALL,,https://www.crunchbase.com/organization/sitekick,www.sitekick.com,1330 Lagoon Ave.,Minneapolis,MN,55408,1,2016,9,1,#N/A,,,,,"$133,333 ",,"$1,200,000 ",,,0.00%,,,,,,,16-Feb-22,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Eano,,ALL,https://angel.co/company/eano,https://www.crunchbase.com/organization/eanovation,https://www.eano.com/,400 Concar Drive,San Mateo,CA,94402,2,2019,6,1,#N/A,,,,,"$200,000 ",,"$1,200,000 ",,,0.00%,,,,,1-May-19,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecomedes,Sustainability,"Multifamily, Office, Retail, Hospitality, Industrial",https://angel.co/ecomedes-1,https://www.crunchbase.com/organization/ecomedes,ecomedes.com,1836 48th Ave.,San Francisco,CA,94122,3,2014,11,1,#N/A,,,,,"$109,091 ",,"$1,200,000 ",,,0.00%,,,,," Jan 14, 2019","$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa,,Industrial,,https://www.crunchbase.com/organization/casa-2535,https://pros.casa/,,Delray Beach,FL,,3,2020,,,#N/A,,,,,,,"$1,200,000 ",,,,,,,,25-Feb-22,"$1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
S2A Modular,,Construction,,https://www.crunchbase.com/organization/s2a-modular,https://www.s2amodular.com/,,Murrieta,CA,,2,2018,,,#N/A,,,,,,,"$1,190,000 ",,,,,,,,,,15-Nov-22,"$840,000 ",,,,,,,,,,,,,,,,,,,1-Mar-22,"$350,000 ",,,,,
Fabrica.AI,,Construction,,https://www.crunchbase.com/organization/fabrica-ai,https://www.fabrica.ai/,,Singapore,Singapore,,3,2022,,,#N/A,,,,,,,"$1,180,000 ",,,,,,,,13-Mar-22,"$330,000 ",27-Mar-23,"$850,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Zityhub,,Office,,https://www.crunchbase.com/organization/zityhub,https://zityhub.com/,,Madrid,Spain,,,2019,,,#N/A,,,,,,,"$1,177,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Mar-23,"$1,177,000 ",,,,,
Realync,,Multifamily,https://angel.co/company/realync,https://www.crunchbase.com/organization/realync,https://www.realync.com/,,Carmen,Indiana,,,2013,12,1,#N/A,,,,,"$91,667 ",,"$1,100,000 ",,,0.00%,,,,,,,4-Oct-16,"$1,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Green Badger,,Construction,https://angel.co/company/green-badger-1,https://www.crunchbase.com/organization/green-badger,https://getgreenbadger.com/,,Savannah,GA,,1,2013,,,#N/A,,,,,,,"$1,100,000 ",,,,,,,,,,15-Jun-22,"$1,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Homesfy,,Residential,https://wellfound.com/company/homesfy,https://www.crunchbase.com/organization/homesfy,http://www.homesfy.in/,,Thane,India,,2,2013,,,#N/A,,,,,,,"$1,100,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Nov-22,"$1,100,000 ",,,,,
coUrbanize, Commercial Real Estate,Office,https://angel.co/company/courbanize,https://www.crunchbase.com/organization/courbanize,https://www.courbanize.com/,"33 Arch Street
Boston, MA 02110",Boston,MA,2110,3,2013,12,1,#N/A,,,,,"$85,775 ",,"$1,029,300 ",,,0.00%,,,,,,," Oct 1, 2016","$1,029,300 ",,,,,,,,,,,,,,,,,,,,,,,,,
Domuso,Revenue,Multifamily,https://angel.co/domuso,https://www.crunchbase.com/organization/domuso-inc,domuso.com/,2110 Main Street,Santa Monica,CA,90405,3,2014,11,2,#N/A,,,,,"$90,909 ",,"$1,000,000 ",,,0.00%,,,,," Oct 15, 2014","$500,000 ", 10/15/2014,"$500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
Akia,,Hotels,https://angel.co/company/akiaai,https://www.crunchbase.com/organization/akia,akia.ai,101 Jefferson Dr Unit 233A,Menlo Park,CA,94025,1,2018,7,1,#N/A,,,,,"$142,857 ",,"$1,000,000 ",,,0.00%,,,,,,,16-Jun-20,"$1,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
CityVest Capital,,All,https://angel.co/company/cityvest,https://www.crunchbase.com/organization/citivest-com,https://www.cityvest.com/home.html,,NY,NY,,,2014,11,1,#N/A,,,,,"$90,909 ",,"$1,000,000 ",,,0.00%,,,,,,,6-Jan-17,"$1,000,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
