Name,Technology,Prop Type,AngelList,Crunchbase,Domain,HQ Address,City,State,Zip,# Founders,Founded,Years Active,# of Funding Rounds,Valuation Rank,Funding/Year Rank,Total Funding Rank,ARR Rank,CAFR Rank,Avg. Funding/Year,ARR/Funds Raised,Total Funding,Estimated ARR,CFRGR (Compound Funding Round Growth Rate),CAFR,Latest Valuation,Latest Valuation Year,Accelerator,Accelerator 2,Pre-Seed Date,Pre-Seed $,Seed Date,Seed $,Bridge Date,Bridge $,A Round Date,A Round $,B Round Date,B Round $,C Round Date,C Round $,D Round Date,D Round $,E Round Date,E Round $,F Round Date,F Round $,G Round Date,G Round $,H Round Date,H Round $,Unknown Series Date,Unknown Series $,Non-Dilutive Round Date,Non-Dilutive Round $,Exit Date,Exit $,Acquirer
Saltbox,,Industrial,,https://www.crunchbase.com/organization/saltbox-com/company_financials,https://www.joinsaltbox.com/,,Atlanta,Georgia,,,2019,6,3,#N/A,,,,,"$8,133,333 ",,"$48,800,000 ","$1,900,000 ",,48.99%,,,,,,,5-Sep-19,"$3,200,000 ",,,15-Apr-21,"$10,600,000 ",29-Nov-22,"$35,000,000 ",,,,,,,,,,,,,,,,,,,
UpKeep,,"Hospitality, Industrial, Other",https://angel.co/company/upkeep-maintenance-management,https://www.crunchbase.com/organization/upkeep-maintenance-management#section-overview,www.onupkeep.com,10880 Wilshire Blvd,Los Angeles,CA,90024,1,2014,11,3,#N/A,182,256,,,"$4,427,273 ",,"$48,700,000 ",,137.13%,26.55%,,,,,,,,"$2,700,000 ",,,20-Mar-18,"$10,000,000 ",12-May-20,"$36,000,000 ",,,,,,,,,,,,,,,,,,,
HouseCall,,Residential,https://angel.co/company/housecall,https://www.crunchbase.com/organization/housecall,https://www.housecallpro.com/,,Denver,CO,,4,2013,,,#N/A,#N/A,257,,,,,"$48,500,000 ",,,,,,,,,,20-May-14,"$1,500,000 ",,,15-Sep-15,"$6,000,000 ",21-Aug-17,"$11,000,000 ",1-Sep-18,"$30,000,000 ",,,,,,,,,,,,,,,,,
BrainBox,,All,,https://www.crunchbase.com/organization/brainbox-ai#section-overview,www.brainboxai.com/,"2075 boul Robert-Bourassa, Suite 500",Montreal,Canada,H3A 2L1,N/A,2017,8,4,#N/A,118,186,,,"$8,837,500 ",,"$70,700,000 ",,46.57%,21.07%,,,,,,," Apr 28, 2020","$12,000,000 ",,,26-Jul-22,"$30,000,000.00 ",,,,,,,,,,,,,,,28-Apr-23,"$22,200,000 ",17-Feb-23,"$6,500,000 ",,,
Alice Technologies,,Construction,https://angel.co/company/alice-technologies,https://www.crunchbase.com/organization/alice-technologies,https://www.alicetechnologies.com/home,1040 Noel Dr Suite 203,Menlo Park,CA,94025,2,2013,,,#N/A,#N/A,212,,,,,"$61,100,000 ",,,,,,,,,,30-Jul-15,"$2,600,000 ",,,30-May-19,"$15,500,000 ",11-Apr-23,"$43,000,000 ",,,,,,,,,,,,,,,11-Apr-23,,,,
Welcome Homes,,Construction,https://wellfound.com/company/welcome-homes,https://www.crunchbase.com/organization/welcome-homes,https://welcomehomes.com/,,New York,NY,,6,2020,,,#N/A,,,,,,,"$47,800,000 ",,,,,,,,,,20-Oct-20,"$5,400,000 ",1-Dec-21,"$13,400,000 ",12-Jan-23,"$29,000,000 ",,,,,,,,,,,,,,,,,,,,,
Alasco,,ALL,https://angel.co/company/alasco,https://www.crunchbase.com/organization/alasco,https://www.alasco.de/en/,,Munich,Germany,,3,2018,7,2,#N/A,140,259,,,"$6,785,714 ",,"$47,500,000 ",,130.94%,27.02%,,,,,,,,,,,7-Jul-20,"$7,500,000 ",11-Jan-22,"$40,000,000 ",,,,,,,,,,,,,,,,,,,
HelloAlfred,Amenities,Residential,https://angel.co/helloalfred,https://www.crunchbase.com/organization/alfred#section-overview,https://www.helloalfred.com,61 Broadway,New York,NY ,10013,2,2013,12,3,#N/A,192,259,,,"$3,958,333 ",,"$47,500,000 ",,159.62%,26.94%,,,,, 3/1/2013,, 11/17/2014,"$2,000,000 ",,, 4/14/2015,"$10,500,000 ",5/31/2018,"$35,000,000 ",,,,,,,,,,,,,,,,,,,
Goodlord,,Multifamily,https://angel.co/company/goodlord,https://www.crunchbase.com/organization/goodlord,https://www.goodlord.co/,,London,UK,,3,2014,,,#N/A,#N/A,261,,,,,"$47,060,000 ",,,,,,,,,,18-May-16,"$2,620,000 ",,,14-Mar-17,"$9,440,000 ",30-Mar-22,"$35,000,000 ",,,,,,,,,,,,,,,,,,,
Archipelago,Commercial AI,Multifamily,https://angel.co/company/archipelago-analytics,https://www.crunchbase.com/organization/archipelago-analytics,https://www.onarchipelago.com/,8 California St.,San Francisco,CA,94111,4,2018,7,2,#N/A,142,262,,,"$6,714,286 ",,"$47,000,000 ",,61.72%,14.72%,,,,,,,,,,,9-Aug-19,"$13,000,000 ",20-Apr-21,"$34,000,000.00 ",,,,,,,,,,,,,,,,,,,
